t_utc,ra_deg,dec_deg,sigma_arcsec,site
2021-10-21T03:38:07.008,149.167392196994,9.343511872507,0.5,Z22
2021-10-21T03:40:46.848,149.168792262752,9.342944696358,0.5,Z22
2021-10-21T03:43:26.688,149.170192012590,9.342377507447,0.5,Z22
2021-10-22T03:38:45.888,149.925717489942,9.033924994722,0.5,Z22
2021-10-22T03:41:28.320,149.927136301670,9.033346243357,0.5,Z22
2021-10-22T03:44:10.752,149.928554788409,9.032767478902,0.5,Z22
2021-10-23T03:39:21.312,150.682025555094,8.723187018214,0.5,Z22
2021-10-23T03:42:01.152,150.683417936055,8.722615239474,0.5,Z22
2021-10-27T22:48:57.888,154.282598743973,7.217025160786,0.5,B50
2022-01-18T15:13:23.952,217.303311986234,-18.345949087530,0.5,D29
